Time

Datasets		Anti-Mirror		Apriori

3 i 10 t		0.001604		0.000305
5 i 18 t		0.004096		0.003256
10 i 50 t		0.014208		0.029310
40 i 50 t		0.012178		1.177827
40 i 100 t		0.264472		1.230674
100 i 100 t		0.432355		3.987675
100 i 1000 t	0.485466		9.897666
100 i 2000 t	0.682790		18.765653
100 i 5000 t	3.035292		42.675645
175 i 10000 t	18.343971		75.876721
175 i 25000 t	120.577338		149.98928
175 i 50000 t	367.464419		380.231423
175 i 100000 t	1291.113637		1520.289823


Memory

Datasets		Anti-Mirror		Apriori
3 i 10 t		8.5				1.35
5 i 18 t		8.5				8.2
10 i 50 t		8.8				8.4
40 i 50 t		8.8				21
40 i 100 t		9.6				21.5
100 i 100 t		9.8				30.5
100 i 1000 t	11.6			52
100 i 2000 t	13.6			79
100 i 5000 t	21				90
175 i 10000 t	59				149
175 i 25000 t	103				190
175 i 50000 t	195				289
175 i 100000 t	375				510


